$primary$,$original$
$el toro resources llc$,$el toro resources llc$
$tecolote energy operating, llc$,$tecolote energy operating, llc$
$pablo energy ii, llc$,$pablo energy ii, llc$
$rocky top energy$,$rocky top energy$
$mdc texas energy$,$mdc texas energy$
$arrington oil & gas operating llc$,$arrington oil & gas operating llc$
$gulf exploration, l.l.c.$,$gulf exploration, l.l.c.$
$paloma operating co, inc$,$paloma operating co, inc$
$gunn oil company$,$gunn oil company$
$felix energy llc$,$felix energy llc$
$l.e. jones operating, inc.$,$l.e. jones operating, inc.$
$tecpetrol operating llc$,$tecpetrol operating llc$
$territory resources$,$territory resources$
$legend natural gas, llc$,$legend natural gas, llc$
$trilogy operating, inc.$,$trilogy operating, inc.$
$murchison oil & gas inc$,$murchison oil & gas inc$
$mack energy corporation$,$mack energy corporation$
$gasco energy, inc.$,$gasco energy, inc.$
$alta resources$,$alta resources$
$windsor permian llc$,$windsor permian llc$
$mds energy, ltd$,$mds energy, ltd$
$freedom production, inc.$,$freedom production, inc.$
$ef energy, llc$,$ef energy, llc$
$shd oil & gas, llc$,$shd oil & gas, llc$
$tidal petroleum, inc.$,$tidal petroleum, inc.$
$escondido resources oper co$,$escondido resources oper co$
$travis peak resources, llc$,$travis peak resources, llc$
$donray petroleum llc.$,$donray petroleum llc.$
$true oil company llc$,$true oil company llc$
$e.g.l. resources, inc.$,$e.g.l. resources, inc.$
$tall city operations llc$,$tall city operations llc$
$dugan production corp.$,$dugan production corp.$
$magnolia oil & gas llc$,$magnolia oil & gas llc$
$new dominion llc$,$new dominion llc$
$fairway resources operating iii, llc$,$fairway resources operating iii, llc$
$pride energy company$,$pride energy company$
$seaboard operating co.$,$seaboard operating co.$
$mcelvain energy, inc.$,$mcelvain energy, inc.$
$jilpetco, inc.$,$jilpetco, inc.$
$altamont energy$,$altamont energy$
$triumph energy partners llc$,$triumph energy partners llc$
$mid-states operating company$,$mid-states operating company$
$walsh petroleum, inc.$,$walsh petroleum, inc.$
$american energy - utica, llc$,$american energy - utica, llc$
$highpoint operating corporation$,$highpoint operating corporation$
$permian deep rock oil co., llc$,$permian deep rock oil co., llc$
$vermilion energy usa llc$,$vermilion energy usa llc$
$pacesetter energy, llc$,$pacesetter energy, llc$
$chisholm energy operating, llc$,$chisholm energy operating, llc$
$capstone natural resources, llc$,$capstone natural resources, llc$
$green century exploration & production, llc$,$green century exploration & production, llc$
$sk e&p operations america$,$sk e&p operations america$
