$primary$,$original$
$savant alaska llc$,$savant alaska llc$
$luca resources group, llc$,$luca resources group, llc$
$antle operating, inc.$,$antle operating, inc.$
$antle operating, inc.$,$antle operating, inc.$
$addax operating, llc.$,$addax operating, llc.$
$atropos exploration company$,$atropos exploration company$
$cooper oil & gas, llc$,$cooper oil & gas, llc$
$fuego energy, llc$,$fuego energy, llc$
$prairie resources llc$,$prairie resources llc$
$titan exploration, llc$,$titan exploration, llc$
$abarta oil & gas co., inc.$,$abarta oil & gas co., inc.$
$toklan oil and gas  corp$,$toklan oil and gas  corp$
$maximus operating, ltd.$,$maximus operating, ltd.$
$nighthawk production llc$,$nighthawk production llc$
$alta vista oil corporation$,$alta vista oil corporation$
$sonterra energy, llc$,$sonterra energy, llc$
$wicklund petroleum, inc.$,$wicklund petroleum, inc.$
$texas presco, inc.$,$texas presco, inc.$
$superior oil & gas, llc$,$superior oil & gas, llc$
$pruitt operating co. llc$,$pruitt operating co. llc$
$cimarron engineering, llc$,$cimarron engineering, llc$
$jolen operating company$,$jolen operating company$
$utah gas corporation$,$utah gas corporation$
$aus-tex exploration, ltd.$,$aus-tex exploration, ltd.$
$crest resources, inc.$,$crest resources, inc.$
$edge barnett operating company llc$,$edge barnett operating company llc$
$lu-ray petroleum, llc$,$lu-ray petroleum, llc$
$red fork production, llc$,$red fork production, llc$
$g.a. hawkins$,$g.a. hawkins$
$luxe operating, llc$,$luxe operating, llc$
$l & m operating, inc.$,$l & m operating, inc.$
$hill-lake gas storage, llc$,$hill-lake gas storage, llc$
$southland royalty company llc$,$southland royalty company llc$
$white eagle oil & gas, llc$,$white eagle oil & gas, llc$
$redbud e&p, inc.$,$redbud e&p, inc.$
$edge energy, llc$,$edge energy, llc$
$arrow oil & gas, llc.$,$arrow oil & gas, llc.$
$echo production, inc.$,$echo production, inc.$
$j & t operating llc$,$j & t operating llc$
$hat creek resources, llc$,$hat creek resources, llc$
$tellurian operating llc$,$tellurian operating llc$
$four c oil and gas corporation$,$four c oil and gas corporation$
$grand mesa operating company$,$grand mesa operating company$
$petrodome operating, llc$,$petrodome operating, llc$
$regeneration energy corp.$,$regeneration energy corp.$
$moon-hines-tigrett operating co., inc.$,$moon-hines-tigrett operating co., inc.$
$laddex, ltd$,$laddex, ltd$
$wagon wheel operating, llc$,$wagon wheel operating, llc$
$xtreme energy co.$,$xtreme energy co.$
$xtreme energy co.$,$xtreme energy co.$
$richland resources corporation$,$richland resources corporation$
$magnet oil lp$,$magnet oil lp$
$magnum energy, inc.$,$magnum energy, inc.$
$the warren corporation$,$the warren corporation$
$cascade petroleum$,$cascade petroleum$
$breitling operating corporation$,$breitling operating corporation$
$evertson operating company$,$evertson operating company$
$evertson operating company$,$evertson operating company$
$matrix oil corporation$,$matrix oil corporation$
$reveille oil & gas operating, llc$,$reveille oil & gas operating, llc$
$crow creek operating co. iii, llc$,$crow creek operating co. iii, llc$
$petroedge energy iii llc$,$petroedge energy iii llc$
$enduro operating llc$,$enduro operating llc$
$arlington petroleum llc$,$arlington petroleum llc$
$hpc energy llc$,$hpc energy llc$
$agave oil & gas, llc$,$agave oil & gas, llc$
$ginnings company$,$ginnings company$
$prospect$,$prospect$
$slant operating$,$slant operating$
$ranchers resources inc.$,$ranchers resources inc.$
$furie operating alaska$,$furie operating alaska$
$lainco, inc.$,$lainco, inc.$
$xpr resources llc$,$xpr resources llc$
$oak valley swd llc$,$oak valley swd llc$
$rp operating, llc$,$rp operating, llc$
$yuma e & p company, inc.$,$yuma e & p company, inc.$
$quartz mountain oil & gas llc$,$quartz mountain oil & gas llc$
$n s p operating group llc$,$n s p operating group llc$
$element petroleum operating, llc$,$element petroleum operating, llc$
$indigo ii louisiana operating, llc$,$indigo ii louisiana operating, llc$
$upham oil & gas company$,$upham oil & gas company$
$continental exploration llc$,$continental exploration llc$
$sue-ann operating, l.c.$,$sue-ann operating, l.c.$
$mesquite swd$,$mesquite swd$
$brooks range petroleum corporation$,$brooks range petroleum corporation$
$tmr exploration, inc.$,$tmr exploration, inc.$
$geurin oil & gas$,$geurin oil & gas$
$steward energy, llc$,$steward energy, llc$
$j.i. staley co., llc$,$j.i. staley co., llc$
$mueller exploration, inc.$,$mueller exploration, inc.$
$swjn oil company$,$swjn oil company$
$allegro investments, inc.$,$allegro investments, inc.$
$novo oil & gas texas, llc$,$novo oil & gas texas, llc$
$bean resources.com$,$bean resources.com$
$nmr energy llc$,$nmr energy llc$
$danick operating usa$,$danick operating usa$
$tidewater operating company inc$,$tidewater operating company inc$
$crose oil company$,$crose oil company$
$crose oil company$,$crose oil company$
$wellco energy, inc.$,$wellco energy, inc.$
$seguro oil and gas llc$,$seguro oil and gas llc$
$moore petroleum investment corp.$,$moore petroleum investment corp.$
$circle 9 resources llc$,$circle 9 resources llc$
$danmark energy lp$,$danmark energy lp$
$jva operating company, inc.$,$jva operating company, inc.$
$pedernales production, lp$,$pedernales production, lp$
$elk petroleum$,$elk petroleum$
$mcoil operating company$,$mcoil operating company$
$marshall & winston, inc.$,$marshall & winston, inc.$
$latigo oil & gas, inc.$,$latigo oil & gas, inc.$
$burk-gunn oil company$,$burk-gunn oil company$
$caraway operating company$,$caraway operating company$
$mendell finisterre ii llc$,$mendell finisterre ii llc$
$sunburst, inc.$,$sunburst, inc.$
$bulldog operating company$,$bulldog operating company$
$fairways exploration & production, llc$,$fairways exploration & production, llc$
$makoil inc$,$makoil inc$
$texon oil company, inc.$,$texon oil company, inc.$
$woodland resources llc$,$woodland resources llc$
$sec production$,$sec production$
$diamond production co., llc$,$diamond production co., llc$
$titan oil & gas$,$titan oil & gas$
$smith energy operating company$,$smith energy operating company$
$felderhoff production co$,$felderhoff production co$
$southwestern energy ventures company llc$,$southwestern energy ventures company llc$
$glen d. gonzenbach, llc$,$glen d. gonzenbach, llc$
$glen d. gonzenbach, llc$,$glen d. gonzenbach, llc$
$glen d. gonzenbach, llc$,$glen d. gonzenbach, llc$
$blackridge resource partners$,$blackridge resource partners$
$viejo energy i, llc$,$viejo energy i, llc$
$southern oklahoma production$,$southern oklahoma production$
$sandalwood exploration, lp$,$sandalwood exploration, lp$
$glimp oil company, llc$,$glimp oil company, llc$
$cw resources, inc.$,$cw resources, inc.$
$anthis land company llc$,$anthis land company llc$
$resaca resources, llc$,$resaca resources, llc$
$hollimon oil corporation$,$hollimon oil corporation$
$hollimon oil corporation$,$hollimon oil corporation$
$hollimon oil corporation$,$hollimon oil corporation$
$hollimon oil corporation$,$hollimon oil corporation$
$halvey energy, llc$,$halvey energy, llc$
$weins oil & gas llc$,$weins oil & gas llc$
$k s oil company, inc$,$k s oil company, inc$
$phoenix oil & gas, inc.$,$phoenix oil & gas, inc.$
$woolsey operating company, llc$,$woolsey operating company, llc$
$stormy 8 operating, llc$,$stormy 8 operating, llc$
$fuller production, inc.$,$fuller production, inc.$
$oil projects, llc$,$oil projects, llc$
$stronghold energy ii operating llc$,$stronghold energy ii operating llc$
$king energy llc$,$king energy llc$
$dyad petroleum company$,$dyad petroleum company$
$dragon oil & gas llc$,$dragon oil & gas llc$
$aschere energy$,$aschere energy$
$tbk energy company$,$tbk energy company$
$gilliland oil & gas, inc.$,$gilliland oil & gas, inc.$
$momentum operating co., inc.$,$momentum operating co., inc.$
$naifco oil & gas, llc$,$naifco oil & gas, llc$
$herd producing company, inc.$,$herd producing company, inc.$
$d&b operating llc$,$d&b operating llc$
$accumulate energy alaska inc$,$accumulate energy alaska inc$
$r e blaik inc$,$r e blaik inc$
$singletree resources, inc.$,$singletree resources, inc.$
$pay dirt energy, llc$,$pay dirt energy, llc$
$k3 oil & gas operating company$,$k3 oil & gas operating company$
$cazador operating, llc$,$cazador operating, llc$
$1776 energy operators$,$1776 energy operators$
$fouts oil & gas, llc$,$fouts oil & gas, llc$
$malone-marsh well$,$malone-marsh well$
$i-mac petroleum service inc.$,$i-mac petroleum service inc.$
$pace operating$,$pace operating$
$pace operating$,$pace operating$
$tabula rasa energy$,$tabula rasa energy$
$farmer operating, llc$,$farmer operating, llc$
$three j energy, inc.$,$three j energy, inc.$
$bridon energy llc$,$bridon energy llc$
$inland operating company$,$inland operating company$
$levant energy llc$,$levant energy llc$
$valley petrol consulting inc$,$valley petrol consulting inc$
$price operating, llc$,$price operating, llc$
$duke gas company, llc$,$duke gas company, llc$
$captiva energy partners llc$,$captiva energy partners llc$
$tripowwer resources, llc$,$tripowwer resources, llc$
$rim operating, inc$,$rim operating, inc$
$dave holke consulting, inc.$,$dave holke consulting, inc.$
$ampak oil company$,$ampak oil company$
$criswell energy, llc$,$criswell energy, llc$
$zargon oil (nd) inc.$,$zargon oil (nd) inc.$
$mountain creek energy, inc.$,$mountain creek energy, inc.$
$mcclure oil co.$,$mcclure oil co.$
$anderson oil ltd$,$anderson oil ltd$
$tex-star production$,$tex-star production$
$meason petroleum llc$,$meason petroleum llc$
$wynn-crosby operating, ltd.$,$wynn-crosby operating, ltd.$
$perkins energy company$,$perkins energy company$
$wn operating, inc.$,$wn operating, inc.$
$rmb operating llc$,$rmb operating llc$
$mackey consulting & leasing llc$,$mackey consulting & leasing llc$
$fossil petroleum, llc$,$fossil petroleum, llc$
$charles p dunning llc$,$charles p dunning llc$
$tfi operating$,$tfi operating$
$butler petroleum, llc$,$butler petroleum, llc$
$j & j production company$,$j & j production company$
$endeavour operating corp$,$endeavour operating corp$
$western production co.$,$western production co.$
$rtb oil,inc.$,$rtb oil,inc.$
$fidgets energy, llc$,$fidgets energy, llc$
$j-lyn oil co.$,$j-lyn oil co.$
$amtex energy, inc$,$amtex energy, inc$
$guinn investments, inc$,$guinn investments, inc$
$southwest resources, inc.$,$southwest resources, inc.$
$jdl operating, llc$,$jdl operating, llc$
$q p, inc.$,$q p, inc.$
$endeavour operating corporation$,$endeavour operating corporation$
$stacy operating llc$,$stacy operating llc$
$bbl operating company, llc$,$bbl operating company, llc$
$aogp, llc$,$aogp, llc$
$rio petroleum, inc.$,$rio petroleum, inc.$
$liberty operating, inc.$,$liberty operating, inc.$
$san angelo operating corp.$,$san angelo operating corp.$
$galt investment company, llc$,$galt investment company, llc$
$woolsey operating co. llc$,$woolsey operating co. llc$
$cornerstone natural resources llc$,$cornerstone natural resources llc$
$mccommons oil company$,$mccommons oil company$
$pacific energy & mining company$,$pacific energy & mining company$
$8 north llc$,$8 north llc$
$texas royalty corp$,$texas royalty corp$
$indian oil co., inc.$,$indian oil co., inc.$
$augustus energy partners, llc$,$augustus energy partners, llc$
$spencer oil company$,$spencer oil company$
$fritzler resources, inc.$,$fritzler resources, inc.$
$aurora operarting, llc$,$aurora operarting, llc$
$aurora operarting, llc$,$aurora operarting, llc$
$eec, inc.$,$eec, inc.$
$lera$,$lera$
$noble resources, inc.$,$noble resources, inc.$
$river rock operating$,$river rock operating$
$rockefeller hughes (usa) llc$,$rockefeller hughes (usa) llc$
$hmd oil co, inc$,$hmd oil co, inc$
$sydson energy, inc$,$sydson energy, inc$
$oil producers, inc. of kansas$,$oil producers, inc. of kansas$
$griggs and bales$,$griggs and bales$
$dore energy co., ltd.$,$dore energy co., ltd.$
$three sands oil, inc.$,$three sands oil, inc.$
$hibernia resources iii$,$hibernia resources iii$
$mcg oil & gas operating, llc$,$mcg oil & gas operating, llc$
$mpb oil & gas$,$mpb oil & gas$
$vaughn good oil co. llc$,$vaughn good oil co. llc$
$leclair operating co., inc.$,$leclair operating co., inc.$
$johanson oil$,$johanson oil$
$d.j.f. services, inc.$,$d.j.f. services, inc.$
$prentice oil company llc$,$prentice oil company llc$
$stingray oil company, inc.$,$stingray oil company, inc.$
$rg exploration llc$,$rg exploration llc$
$hillcrest petroleum, llc$,$hillcrest petroleum, llc$
$acadia oil, llc$,$acadia oil, llc$
$winchester oil & gas$,$winchester oil & gas$
$kaler energy corp.$,$kaler energy corp.$
$94 operating, lp$,$94 operating, lp$
$gus jones cable tool service llc$,$gus jones cable tool service llc$
$lapetco inc$,$lapetco inc$
$c & c productions, llc$,$c & c productions, llc$
$macha enterprises inc$,$macha enterprises inc$
$cirrus production company$,$cirrus production company$
$dove oil corporation$,$dove oil corporation$
$demco oil and gas company$,$demco oil and gas company$
$silver spike energy$,$silver spike energy$
$production resources, inc.$,$production resources, inc.$
$cie$,$cie$
$ranchers exploration partners, llc$,$ranchers exploration partners, llc$
$petrobal omega 1, llc$,$petrobal omega 1, llc$
$mr.$,$mr.$
$australis tms inc.$,$australis tms inc.$
$equinor texas onshore properties llc$,$equinor texas onshore properties llc$
$equinor usa onshore properties inc.$,$equinor usa onshore properties inc.$
$revolution resources$,$revolution resources$
$crd operating, llc$,$crd operating, llc$
$maxim energy corporation$,$maxim energy corporation$
$crowheart energy, llc$,$crowheart energy, llc$
$murchison oil and gas, llc$,$murchison oil and gas, llc$
$petrolegacy energy ii, llc$,$petrolegacy energy ii, llc$
$tap rock resources$,$tap rock resources$
$petro operating company, llc$,$petro operating company, llc$
$oil search alaska, llc$,$oil search alaska, llc$
$mercury operating, llc$,$mercury operating, llc$
$new century exploration, inc.$,$new century exploration, inc.$
$extech operating, llc$,$extech operating, llc$
$sloan petroleum inc.$,$sloan petroleum inc.$
$texas south operating company$,$texas south operating company$
$navidad operating company, llc$,$navidad operating company, llc$
$siltstone resources operating ii, llc$,$siltstone resources operating ii, llc$
$curl creek enterprises$,$curl creek enterprises$
$riviera operating, llc$,$riviera operating, llc$
$atx energy partners, llc$,$atx energy partners, llc$
$2015 oil, llc$,$2015 oil, llc$
$pak energy llc$,$pak energy llc$
$hopewell operating, inc.$,$hopewell operating, inc.$
$toc oil inc.$,$toc oil inc.$
$superior production llc$,$superior production llc$
$am idaho$,$am idaho$
$red oak oil company, llc$,$red oak oil company, llc$
