$primary$,$original$
$baker hughes$,$bakerhug hes$
$baker hughes$,$bakerhughe$
$baker hughes$,$bakerhughe s$
$baker hughes$,$bakerhughes$
$baker hughes$,$bakerhughs$
$baker hughes$,$baket huges$
$baker hughes$,$baler hughes$
$baker hughes$,$bsker hughes$
$baker hughes$,$cws, baker hughes$
$baker hughes$,$hughes$
$baker petrolite llc$,$baker petrolite llc$
$baker petrolite llc$,$bake petrolite$
$baker petrolite llc$,$baker petrolite, llc$
$bakken hunter$,$bakken hunter$
$balchem corporation$,$balchem corporation$
$ballard exploration$,$ballard exploration$
$ballard exploration$,$ballard exploration co inc$
$bam permian operating$,$bam permian operating$
$baroid$,$baroid$
$barsol$,$barsol$
$barton$,$barton$
$barton$,$barton sand & gravel co.$
$basa$,$basa$
$basf corporation$,$basf$
$basf corporation$,$basf corporation$
$basic$,$basic$
$basic$,$basic chemical solutions$
$basic$,$basic enegy services$
$basic$,$basic energy$
$basic$,$basic energy services$
$basic$,$basic energy servics$
$basic$,$basic energy srvices$
$basic$,$basic serv.$
$basic$,$basin energy$
$basic$,$basig energy services$
$basis$,$basis$
$bayer$,$bayer$
$bays exploration$,$bays exploration$
$bays exploration$,$bays exploration, inc.$
$bays exploration$,$bays$
$bayswater exploration and production$,$bayswater exploration and production$
$baytex energy usa ltd$,$baytex energy usa ltd$
$bcs fluids$,$bcs fluids$
$beacon e&p-denver$,$beacon e&p-denver$
$beacon e&p-denver$,$beacon e&p company llc$
$beacon e&p-denver$,$beacon e&p$
$beaudoin energy partners$,$beaudoin energy partners$
$benchmark$,$benchmark$
$benchmark$,$benchmark energy prod...$
$benchmark$,$benchmark energy$
$benchmark$,$benchmark energy products$
$benchmark$,$benchmark energy products l.p.$
$benchmark$,$benchmark energy products llc$
$benchmark$,$benchmark energy products lp$
$benchmark$,$benchmark energy products, l.p.$
$benchmark$,$benchmark eergy prod...$
$berry petroleum$,$berry petroleu m$
$berry petroleum$,$berry petroleum$
$berry petroleum$,$berry petroleum co$
$best sand corp.$,$best sand corp.$
$betro, inc.$,$betro, inc.$
$bexco$,$bexco$
$bghe$,$bghe$
$bhge$,$bhge$
$bhi$,$bhi$
$bhp$,$bhp$
$bhp$,$bhp billiton$
$big star$,$big star$
$billy jack sharber oil co.$,$billy jack sharber oil co.$
$binder$,$binder$
$binder$,$binder science$
$binder$,$binder science llc$
$binder$,$binder science, llc$
$bio-smart technologies usa co.$,$bio-smart technologies usa co.$
$bio-smart technologies usa co.$,$bio-smart technologies$
$bio-smart technologies usa co.$,$bio-smart$
$bioballs$,$bioballs$
$biocide international$,$bio-cide$
$biocide international$,$bio-cide internationa1$
$biocide international$,$bio-cide international$
$biocide international$,$bio-cide international inc$
$biocide international$,$bio-cide international, inc$
$biocide international$,$bio-cide international, inc.$
$biocide international$,$biocide international$
$biocide international$,$biocide$
$bioguard$,$bioguard$
$biosuite, llc$,$biosuite$
$biosuite, llc$,$biosuite, llc$
$biosuite, llc$,$biosuite, llc      multiple suppliers$
$bison trucking llc$,$bison trucking llc$
$bj$,$bj$
$bj$,$bj chemical$
