,"clean","cnt","proprietary","hiding"
1950,"75673-43-7",2311,,
1951,"75676-43-7",1,,
1952,"758-12-3",2,,
1953,"76-06-1",4,,
1954,"76-64-1",1,,
1955,"7601-54-9",1160,,
1956,"761-52-9",1,,
1957,"763-69-9",3,,
1958,"763-86-9",1,,
1959,"7631-14-5",1,,
1960,"7631-86-8",3,,
1961,"7631-86-9",16417,,
1962,"7631-89-6",1,,
1963,"7631-89-9",1,,
1964,"7631-90-5",2267,,
1965,"7631-95-0",147,,
1966,"7631-99-4",925,,
1967,"7632-00-0",1025,,
1968,"7632-04-4",25,,
1969,"7632-05-5",20,,
1970,"7632-50-0",403,,
1971,7632044,1,,
1972,"7641-01-0",191,,
1973,"7641-01-1",134,,
1974,"7641-14-5",1,,
1975,"7646-14-5",4,,
1976,"7646-79-9",1,,
1977,"7646-85-7",169,,
1978,7647,1,,
1979,"7647-0",1,,
1980,"7647-01-0",94654,,
1981,"7647-01-0 & 64-19-7",2,,1
1982,"7647-01-01",10,,
1983,"7647-01-0;79-14-1",2,,1
1984,"7647-01-1",179,,
1985,"7647-010",2,,
1986,"7647-07-0",4,,
1987,"7647-1-0",7,,
1988,"7647-10-0",3,,
1989,"7647-14-5",73146,,
1990,"7647-14-5 100",4,,
1991,"7647-15-15",1,,
1992,"7647-15-5",2,,
1993,"7647-15-6",3271,,
1994,"7647-40-7",1,,
1995,"7647-52-4",1,,
1996,"7647.14-5",1,,
1997,"764701-0",1,,
1998,7647145,1,,
1999,"7657-01-0",24,,
2000,"7664-38-2",6374,,
2001,"7664-38-4",3,,
2002,"7664-39-3",423,,
2003,"7664-41-7",1493,,
2004,"7664-93-9",3771,,
2005,"76647-01-0",1,,
2006,"767-01-0",2,,
2007,"767-14-5",2,,
2008,"7671-10-0",1,,
2009,"7674-01-0",3,,
2010,"7674-14-5",1,,
2011,"76774-74-8",6,,
2012,"7681-11-0",2901,,
2013,"7681-38-1",788,,
2014,"7681-52-9",7399,,
2015,"7681-53-0",89,,
2016,"7681-57-4",150,,
2017,"7681-82-5",6472,,
2018,"768111-0",1,,
2019,"7691-86-9",1,,
2020,"7699-43-6",180,,
2021,"77-27-54-0",1,,
2022,"77-49-6",229,,
2023,"77-54-0",14,,
2024,"77-71-4",35,,
2025,"77-89-4",248,,
2026,"77-91-9",2,,
2027,"77-92-2",2,,
2028,"77-92-6",2,,
2029,"77-92-9",34718,,
2030,"77-93-9",3,,
2031,"77-96-9",1,,
2032,"7704-34-9",1,,
2033,"7704-73-6",961,,
2034,"7705-08-0",156,,
2035,"7708-54-9",11,,
2036,"7717-54-0",1,,
2037,"7718-54-9",13,,
2038,"772-84-1",11,,
2039,"7720-78-7",2,,
2040,"7721-18-5",1,,
2041,"7722-76-1",6376,,
2042,"7722-81-1",2,,
2043,"7722-84-1",6375,,
2044,"7727 - 54 - 0",46,,
2045,"7727-21-1",402,,
2046,"7727-37-9",2153,,
2047,"7727-43-7",2,,
2048,"7727-54-0",49972,,
2049,"7727-54-1",13,,
2050,"7727-540",2,,
2051,"7727-56-0",1,,
2052,"7727-98-7",17,,
2053,"772754-0",8,,
2054,"773				 		2-18-5",1,,
2055,"773-18-2",113,,
2056,"7731-18-5",1,,
2057,"7732 - 18 - 5",67,,
2058,"7732 -18 -5",2,,
2059,"7732-14-7",1,,
2060,"7732-15-5",37,,
2061,"7732-15-8",11,,
2062,"7732-17-5",1,,
2063,"7732-18-*5",1,,
2064,"7732-18-05",8,,
2065,"7732-18-1",1,,
2066,"7732-18-15",5,,
2067,"7732-18-2",1,,
2068,"7732-18-45",21,,
2069,"7732-18-5",364785,,
2070,"7732-18-5 ?",6,,
2071,"7732-18-5-0",1,,
2072,"7732-18-5/ 7758-19-2",2,,1
2073,"7732-18-5/ propr",1,1,
2074,"7732-18-5/7758-19-2",2,,1
2075,"7732-18-56",1,,
2076,"7732-18-58",1,,
2077,"7732-18-5?",12,,
2078,"7732-18-5proprietary",2,1,
2079,"7732-18-6",1,,
2080,"7732-18-8",7,,
2081,"7732-18-85",1,,
2082,"7732-18-9",1,,
2083,"7732-18.5",1,,
2084,"7732-180-5",1,,
2085,"7732-185",2,,
2086,"7732-188-5",1,,
2087,"7732-19-5",2,,
2088,"7732-47-8",1,,
2089,"7732-518-5",1,,
2090,"7732-78-5",19,,
2091,"7732-8-5",1,,
2092,"7732-84-1",1,,
2093,"7732.18-5",1,,
2094,"7732.18.5",1,,
2095,7732158,1,,
2096,"773218-5",2,,
2097,7732185,8,,
2098,"7732185-185",1,,
2099,"77323-18-5",1,,
2100,"7733-02-0",30,,
2101,"7735-18-5",1,,
2102,"774-40-7",1,,
2103,"7747-40-7",2,,
2104,"7752-82-6",2,,
2105,"7756-94-7",152,,
2106,"7757-69-9",32,,
2107,"7757-79-1",4,,
2108,"7757-82-6",13148,,
2109,"7757-83-7",1285,,
2110,"7758-16-9",2,,
2111,"7758-18-2",31,,
2112,"7758-19-2",17475,,
2113,"7758-29-4",4,,
2114,"7758-87-4",4,,
2115,"7758-89-6",189,,
2116,"7758-98-7",778,,
2117,"7758-99-8",209,,
2118,"7764-41-7",4,,
2119,"777-30-8",1,,
2120,"7772-54-0",1,,
2121,"7772-98-7",4715,,
2122,"7772-99-8",534,,
2123,"7772.99-8",38,,
2124,"7774-34-7",2,,
2125,"7775-09-09",9,,
2126,"7775-09-9",427,,
2127,"7775-19-1",433,,
2128,"7775-25-1",3,,
2129,"7775-27-1",11571,,
2130,"7775-54-0",6,,
2131,"7775-57-1",4,,
2132,"77757-82-6",3,,
2133,"77775-27-1",1,,
2134,"7778-18-9",43,,
2135,"7778-27-1",7,,
2136,"7778-50-9",1,,
2137,"7778-54-3",19,,
2138,"7778-77-0",332,,
2139,"7778-80-5",148,,
2140,"7782-42-5",4,,
2141,"7782-63-0",370,,
2142,"7783-18-8",237,,
2143,"7783-20-2",2179,,
2144,"7783-28-0",171,,
2145,"77836-20-2",1,,
2146,"7786-30-3",4958,,
2147,"7786-81-4",3,,
2148,"7789-20-0",18,,
2149,"7789-38-0",2769,,
2150,"7789-41-5",45,,
2151,"7789-68-0",1,,
2152,"7789-78-8",176,,
2153,"7790-92-3",14,,
2154,"7791-18-6",1319,,
2155,"7791-20-0",24,,
2156,"78-21-7",835,,
2157,"78-40-0",8050,,
2158,"78-40-1",1,,
2159,"78-70-6",1,,
2160,"78-73-9",152,,
2161,"78-78-4",13,,
2162,"78-83-1",129,,
2163,"78-96-6",17,,
2164,"781-11-0",1,,
2165,"78266-09-8",16,,
2166,"7830-21-9",3,,
2167,"78330-19-5",1446,,
2168,"78330-20-8",1871,,
2169,"78330-21-9",15930,,
2170,"78330-23-1",144,,
2171,"78330-26-4",78,,
2172,"78355-51-8",3,,
2173,"79-06-1",16255,,
2174,"79-06-41",36,,
2175,"79-10-7",602,,
2176,"79-14-1",1476,,
2177,"79-20-9",7,,
2178,"79-21-0",1126,,
2179,"79-33-4",11,,
2180,"7947-01-0",2,,
2181,8,1,,1
2182,"8/6/2426",11,,
2183,"80-05-7",144,,
2184,"80-08-0",10,,
2185,"800-09-03",6,,
2186,"8001-22-7",13,,
2187,"8001-26-1",149,,
2188,"8001-31-8",2,,
2189,"8001-54-5",99,,
2190,"8001-78-3",1,,
2191,"8001-79-4",906,,
2192,"8002-05-9",156,,
2193,"8002-09-03",41,,
2194,"8002-09-3",1164,,
2195,"8002-13-9",1,,
2196,"8002-26-4",16,,
2197,"8002-43-5",206,,
2198,"8002-74-2",72,,
2199,"8003-22-3",253,,
2200,"8007-42-0",22,,
2201,"8007-43-0",1581,,
2202,"8008-20-6",23,,
2203,"8009-03-8",1,,
2204,"8012-95-1",34,,
2205,"8013-01-2",657,,
2206,"8013-70-5",1,,
2207,"8017-16-1",236,,
2208,"8028-48-6",249,,
2209,"8028-77-1",191,,
2210,"8031-18-3",82,,
2211,"8032-32-4",43,,
2212,"8042-47-5",6788,,
2213,"8043-29-6",468,,
2214,"8052-41-3",73,,
2215,"8055-55-8",54,,
2216,"8061-51-6",9,,
2217,"8061-52-7",1,,
2218,"80741-28-8",1,,
2219,"80751-51-5",61,,
2220,"81-88-9",12,,
2221,"814-80-2",2,,
2222,"81741-28-2",2,,
2223,"81741-28-8",8592,,
2224,"817441-28-8",1,,
2225,"818-61-1",1,,
2226,"82469-79-2",3,,
2227,"83446-68-8",262,,
2228,"84012-43-1",45,,
2229,"84113-50-6",1,,
2230,"84133-50-6",8984,,
2231,"84133-50-60",1,,
2232,"844133-50-6",10,,
2233,"848301-67-7",61,,
2234,"84852-15-3",4,,
2235,"85-44-9",73,,
2236,"85-85-0",1,,
2237,"85409-23",1,,
2238,"85409-23-0",65,,
2239,"85536-14-7",131,,
2240,"85566-12-4",1,,
2241,"85566-12-7",584,,
2242,"8556612-7",1,,
2243,"8566-12-7",15,,
2244,"856867-39-5",1,,
2245,"85865-69-6",60,,
2246,"86438-79-1",3,,
2247,"867-56-1",105,,
2248,"87-56-1",1,,
2249,"870-72-4",1384,,
2250,"872-50-4",138,,
2251,"87246-72-8",34,,
2252,"875141-56-3",4,,
2253,"876065-86-0",440,,
2254,"88-04-0",1,,
2255,"88-99-3",32,,
2256,"89-12-0",1,,
2257,"89-53582",1,,
2258,"89-65-6",50,,
2259,8912,10,,1
2260,"8912-0-0",1,,
2261,8913,98,,1
2262,"9-36",1,,
2263,"9-63-6",1,,
2264,"9/3/8002",1,,
2265,"900-06-9",7,,
2266,"900-30-0",241,,
2267,"900-30-30",2,,
2268,"9000-11-7",1,,
2269,"9000-30-0",57666,,
2270,"9000-30-3",2,,
2271,"9000-30-5",10,,
2272,"9000-35-4",5,,
2273,"9000-536-8",1,,
2274,"9000-70-8",302,,
2275,"9000-90-2",154,,
2276,"90000-30-0",8,,
2277,"900030-0",1,,
2278,"9001-32-5",7,,
2279,"9002-84-0",4128,,
2280,"9002-85-1",113,,
2281,"9002-88-4",60,,
2282,"9002-89-5",82,,
2283,"9002-92-0",1543,,
2284,"9002-98-6",36,,
2285,"9003--35-4",1,,
2286,"9003-0.6-9",9,,
2287,"9003-01-4",3,,
2288,"9003-04-07",1,,
2289,"9003-04-7",3476,,
2290,"9003-05-8",956,,
2291,"9003-06-9",2623,,
2292,"9003-07-0",2,,
2293,"9003-1-6",3,,
2294,"9003-11-006",6,,
2295,"9003-11-3",1,,
2296,"9003-11-6",5740,,
2297,"9003-29-6",392,,
2298,"9003-30-0",2,,
2299,"9003-34-4",8,,
2300,"9003-35-4",16878,,
2301,"9003-35-4,37337-65-8",1,,1
2302,"9003-35-5",13,,
2303,"9003-39-8",8,,
2304,"9003-77-4",11,,
2305,"9003.35-4",1,,
2306,"900303 35-4",1,,
2307,"900303-35-4",10,,
2308,900303504,1,,
2309,"90035-8",3,,
2310,"90036-35-4",1,,
2311,"9004 -82-4",2,,
2312,"9004-32-4",5140,,
2313,"9004-34-6",190,,
2314,"9004-53-9",7,,
2315,"9004-54-0",8,,
2316,"9004-59-5",2,,
2317,"9004-62-0",782,,
2318,"9004-64-2",1,,
2319,"9004-67-5",298,,
2320,"9004-77-7",2000,,
2321,"9004-82-4",211,,
2322,"9004-96-0",7128,,
2323,"9004-98-2",27,,
2324,"9004-99-3",20,,
2325,"9005-25-8",151,,
2326,"9005-64-5",837,,
2327,"9005-65-5",14,,
2328,"9005-65-6",17226,,
2329,"9005-66-7",33,,
2330,"9005-67-8",1646,,
2331,"9005-84-9",8,,
2332,"9006-65-9",3,,
2333,"9010-77-9",3,,
2334,"9012-54-18",6,,
2335,"9012-54-8",2088,,
2336,"9014-01-1",1171,,
2337,"9014-85-1",13,,
2338,"9014-93-1",93,,
2339,"9016-45-6",1,,
2340,"9016-45-9",11994,,
2341,"9016-454-9",19,,
2342,"9016-46-9",1,,
2343,"9016-87-9",44,,
2344,"9016-88-0",1203,,
2345,"90194-13-1",7,,
2346,"90218-35-2",1,,
2347,"9025-56-3",3066,,
2348,"903-04-7",52,,
2349,"9032-92-2",16,,
2350,"9035-69-2",1,,
2351,"904-59-5",10,,
2352,"9043-30-5",11731,,
2353,"9046-01-9",297,,
2354,"9046-45-9",1,,
2355,"9049-71-2",9,,
2356,"905-89-2",2,,
2357,"9050-36-6",7,,
2358,"9051-89-2",5596,,
2359,"9051-89-5",1,,
2360,"9052-95-3",7,,
2361,"9062-77-5",1,,
2362,"90622-53-0",112,,
2363,"90622-59-6",31,,
2364,"9063-06-3",7,,
2365,"9063-87-0",9,,
2366,"90669-62-8",10,,
2367,"9072-35-9",2,,
2368,"9082-00-2",121,,
2369,"9084-06-4",24,,
2370,"91-20-3",19430,,
2371,"91-22-05",1,,
2372,"91-22-5",564,,
2373,"91-63-4",573,,
2374,"91.20-3",1,,
2375,"9103-39-3",1,,
2376,"9105-39-3",9,,
2377,"91053-39-2",1,,
2378,"91053-39-3",8175,,
2379,"91053-39-9",1,,
2380,"91053-93-3",2,,
2381,"910644-97-2",572,,
2382,"915-67-3",2025,,
2383,"91503-39-3",1,,
2384,"915053-39-3",1,,
2385,917033,1,,
2386,"919-30-2",9,,
2387,"92-52-4",1,,
2388,"92046-34-9",5,,
2389,9230,12,,1
2390,"92466-47-4",49,,
2391,"92797-42-7",13,,
2392,"92908-33-3",175,,
2393,"93-83-4",7579,,
2394,"93-84-4",28,,
2395,"93037-13-9",11,,
2396,"93213-74-2",2,,
2397,"93858-78-7",31,,
2398,"94133-50-6",1,,
2399,"942-47-4",13,,
2400,94266,1,,
2401,"94266-14-4",3,,
2402,"94266-47-4",5520,,
2403,"94266-97-4",1,,
2404,"94288-47-4",1,,
2405,"94292-05-4",1,,
2406,"94441-92-6",277,,
2407,"94525-01-6",15,,
2408,"94742-47-8",1,,
2409,"95-63-6",14950,,
2410,"95-83-6",1,,
2411,"95077-05-7",28,,
2412,"951-89-2",1,,
2413,"95917-64-9",5,,
2414,"96-14-0",2,,
2415,"96016-45-9",1,,
2416,"9631-99-4",1,,
2417,97,1,,1
2418,"97-64-3",1,,
2419,"97953-25-8",217,,
2420,98,1,,1
2421,"98-00-0",199,,
2422,"98-11-3",1,,
2423,"98-82-8",70,,
2424,"98-83-9",47,,
2425,"98-86-2",3089,,
2426,"98072-82-3",7,,
2427,"98072-94-7",1268,,
2428,"98084-96-9",6,,
2429,"98551-12-2",1,,
2430,"98585-35-2",17,,
2431,"99004-64-2",3,,
2432,"99439-28-8",6,,
2433,"?1319-33-1",4,,
2434,"?8042-47-5",7,,
2435,"???",1,,1
2436,"_empty_entry_",87829,,1
2437,"`9004-96-0",1,,
2438,"alcohol",2,,1
2439,"alkyl derivatives",1,,1
2440,"anhydrous",1,,1
2441,"ao324",1,,1
2442,"ar prop 7",42,,1
2443,"ar prop 70",1,,1
2444,"ar prop7",12,,1
2445,"ba",1,,1
2446,"bentone 150",3,,1
2447,"blank",2,,1
2448,"bldn",1,,1
2449,"blend",29,,1
2450,"business confidental",2,1,
2451,"c1500",2,,1
2452,"c1813",2,,1
2453,"c206",1,,1
2454,"c2310",2,,1
2455,"c506",1,,1
2456,"c507",1,,1
2457,"c55965-84-9",1,,
2458,"c601",1,,1
2459,"c710",2,,1
2460,"c712",2,,1
2461,"c800",1,,1
2462,"c805",1,,1
2463,"cas",2,,1
2464,"cas not assigned",821,,1
2465,"cas: 78330-21-9",1,,
2466,"casnotassigned",1005,,1
2467,"cbi",609,1,
2468,"coinfidential",1,1,
2469,"condidential",1,1,
2470,"conf",2,1,
2471,"conf bus info",35,1,
2472,"confdential",1,1,
2473,"confid. bus. info",1,1,
2474,"confidenial",1,1,
2475,"confidentail",12,1,
2476,"confidental",8,1,
2477,"confidentia1",1,1,
2478,"confidential",144573,1,
2479,"confidential busines",2536,1,
2480,"confidential info",25,1,
2481,"confidnetial",5,1,
2482,"confindential",1,1,
2483,"confinential",1,1,
2484,"epa acct 108431",132,,1
2485,"epa act 108431",3,,1
2486,"ethoxylated amine",1,,1
2487,"fdp-s1046-12",3,,1
2488,"fdp-s1047-12",2,,1
2489,"fdp-s1145-14",1,,1
2490,"friction reducer",1,,1
2491,"hcl 7.5%",3,,1
2492,"hcl < 10%",2,,1
2493,"hcl > 10%",1,,1
2494,"hydrochloric acid",2,,1
2495,"inorganic salt",2,,1
2496,"isopropyl alcohol",1,,1
2497,"listed",4,,1
2498,"listed below",237027,,1
2499,"listedbelow",16,,1
2500,"methanol",1,,1
2501,"methyl alcohol",1,,1
2502,"mix",8,,1
2503,"mixed",1,,1
2504,"mixture",2291,,1
2505,"mxiture",1,,1
2506,"n / a",3,,1
2507,"n.a.",401,,1
2508,"n/a",20501,,1
2509,"n/d",24,,1
2510,"n7647-01-0",1,,
2511,"n\a",2,,1
2512,"na",65756,,1
2513,"na?",2,,1
2514,"nda",2,,1
2515,"nfidb: 15% hcl acid",1,,1
2516,"nfidb: hcl acid",1,,1
2517,"nfidb:1% n-zyme 3",1,,1
2518,"nfidb:15 % hcl acid",3,,1
2519,"nfidb:15% fe acid",1,,1
2520,"nfidb:15% ferchek sc",2,,1
2521,"nfidb:15% hcl",61,,1
2522,"nfidb:15% hcl acid",67,,1
2523,"nfidb:28% hcl",1,,1
2524,"nfidb:325meshsilicaf",1,,1
2525,"nfidb:5% hcl",1,,1
2526,"nfidb:7.5% hcl",5,,1
2527,"nfidb:7.5% hcl acid",8,,1
2528,"nfidb:7.5% hydrochlo",7,,1
2529,"nfidb:activator-usa",16,,1
2530,"nfidb:atlas activato",1,,1
2531,"nfidb:biovert nwb",2,,1
2532,"nfidb:carbon dioxide",1,,1
2533,"nfidb:cat 106 si",1,,1
2534,"nfidb:cl-28e bu",1,,1
2535,"nfidb:cs-805",2,,1
2536,"nfidb:d-air 3000",1,,1
2537,"nfidb:dca 23003",1,,1
2538,"nfidb:dca-23002 bu",1,,1
2539,"nfidb:dca-23003",8,,1
2540,"nfidb:dca-32003",7,,1
2541,"nfidb:fa-15",1,,1
2542,"nfidb:fdp - m1075 -1",1,,1
2543,"nfidb:fdp m 1075-12",2,,1
2544,"nfidb:fdp m1066-12",1,,1
2545,"nfidb:fdp s1047-12",1,,1
2546,"nfidb:fdp-m1066-12",3,,1
2547,"nfidb:fdp-m1075-12",41,,1
2548,"nfidb:fdp-m1075-12 b",1,,1
2549,"nfidb:fdp-s1046-12",1,,1
2550,"nfidb:fdp-s1047-12",11,,1
2551,"nfidb:fdp-s1050-12",13,,1
2552,"nfidb:fdp-s1111-13",10,,1
2553,"nfidb:fdp-s1118-13",2,,1
2554,"nfidb:fdp-s1121-13",2,,1
2555,"nfidb:fdp-s1145-14",7,,1
2556,"nfidb:fdp-s1158-14",5,,1
2557,"nfidb:fdp-s1168-14",1,,1
2558,"nfidb:fdp-s1176-15",1,,1
2559,"nfidb:fdp-s1204-15",1,,1
2560,"nfidb:fe acid 15%",1,,1
2561,"nfidb:fe acid < 10%",10,,1
2562,"nfidb:fe acid > 10%",15,,1
2563,"nfidb:hcl",2,,1
2564,"nfidb:hcl  15%",2,,1
2565,"nfidb:hcl  20%",1,,1
2566,"nfidb:hcl 15%",7,,1
2567,"nfidb:hcl 7.5%",4,,1
2568,"nfidb:hcl < 10%",17,,1
2569,"nfidb:hcl > 10%",128,,1
2570,"nfidb:hcl > 20%",1,,1
2571,"nfidb:hcl acid",1,,1
2572,"nfidb:hcl acid raw 7",1,,1
2573,"nfidb:hf acid 7.5%/1",3,,1
2574,"nfidb:hydrochloric",1,,1
2575,"nfidb:hydrochloric a",6,,1
2576,"nfidb:lp-65 mc",4,,1
2577,"nfidb:ltca",1,,1
2578,"nfidb:mc b-8520",2,,1
2579,"nfidb:mc b-8614",94,,1
2580,"nfidb:mc b-8626",10,,1
2581,"nfidb:mc b-8630",3,,1
2582,"nfidb:mc b-8632",5,,1
2583,"nfidb:mc b-8642",3,,1
2584,"nfidb:mc mx 2-2738",4,,1
2585,"nfidb:mc mx 2-2822",20,,1
2586,"nfidb:mc mx 588-2",1,,1
2587,"nfidb:mc s-2510t",9,,1
2588,"nfidb:microsand",4,,1
2589,"nfidb:mx 2-2822",8,,1
2590,"nfidb:mx 588-2",6,,1
2591,"nfidb:n-zyme 1",1,,1
2592,"nfidb:n-zyme 1%",1,,1
2593,"nfidb:n-zyme 1%sol",1,,1
2594,"nfidb:n-zyme 3",12,,1
2595,"nfidb:na",132,,1
2596,"nfidb:oilperm fm-1",7,,1
2597,"nfidb:oilperm fmm-1",9,,1
2598,"nfidb:oilperm fmm-2",15,,1
2599,"nfidb:parasorb",3,,1
2600,"nfidb:parasorb (tp)",2,,1
2601,"nfidb:potassium chlo",2,,1
2602,"nfidb:scalechek ht",1,,1
2603,"nfidb:scalechek(r) h",8,,1
2604,"nfidb:scaletrol",3,,1
2605,"nfidb:silicaflour-32",2,,1
2606,"nfidb:stim-oil enhf",2,,1
2607,"nfidb:wg-26",1,,1
2608,"nfidb:wlc-4",5,,1
2609,"non",1,,1
2610,"none",3439,,1
2611,"none listed",1,,1
2612,"nonhazardous",3,,1
2613,"not applicable",2,,1
2614,"not applicable.",26,,1
2615,"not assigned",5736,,1
2616,"not available",120,,1
2617,"not available.",130,,1
2618,"not established",16,,1
2619,"not hazardous",2,,1
2620,"not listed",380,,1
2621,"not provided",771,,1
2622,"notavailable",6,,1
2623,"novolake resin",1,,1
2624,"np-488032_2",144,,1
2625,"np-488355",1,,1
2626,"np-r2429-2",1,,1
2627,"np-r2429_2",4,,1
2628,"np-scw720",135,,1
2629,"null",6,,1
2630,"oil",2,,1
2631,"operator",7,,1
2632,"p",11,,1
2633,"po102",1,,1
2634,"po103",2,,1
2635,"porprietary",12,1,
2636,"prioprietary",1,1,
2637,"priprietary",1,1,
2638,"prop",20,1,
2639,"prop.",3,1,
2640,"properitary",16,1,
2641,"propietary",104,1,
2642,"propreitary",31,1,
2643,"propreitory",2,1,
2644,"propriatary",5,1,
2645,"proprieatary",1,1,
2646,"proprierary",1,1,
2647,"propriertary",1,1,
2648,"proprietar",15,1,
2649,"proprietart",8,1,
2650,"proprietarty",7,1,
2651,"proprietary",399634,1,
2652,"proprietary 0.10",4,1,
2653,"proprietary blend",46,1,
2654,"proprietaryl",1,1,
2655,"proprietatry",1,1,
2656,"proprietery",35,1,
2657,"proprietory",53,1,
2658,"proprietry",2,1,
2659,"propriety",12,1,
2660,"propritary",17,1,
2661,"proptietary",1,1,
2662,"prorietary",1,1,
2663,"see comments",7,,1
2664,"several",5,,1
2665,"supplied by oper",2,,1
2666,"supplied by operator",4,,1
2667,"supplied by operatot",1,,1
2668,"system disclosure",1378,,1
2669,"third party",2,,1
2670,"trace secret",1,1,
2671,"trad secret",1,1,
2672,"trade",2,1,
2673,"trade name",1,1,
2674,"trade seccret",1,1,
2675,"trade seceret",18,1,
2676,"trade secert",5,1,
2677,"trade secrer",1,1,
2678,"trade secret",89272,1,
2679,"trade secret , disc.",89,1,
2680,"trade secret, disc.",52,1,
2681,"trade secret.",1,1,
2682,"trade secrets",1,1,
2683,"trade secrte",1,1,
2684,"tradesecret",29,1,
2685,"ts",5,1,
2686,"unavailable",1,,1
2687,"undisclosed",88,,1
2688,"unk",4,,1
2689,"unknown",16,,1
2690,"water",4,,1
2691,"xxxx-xx-x",15,,1
2692,"xxxxxxx-xx-x",34,,1
